11-18 03:07:28.352 V/Jenkins (  654): Creating snapshot... 
11-18 03:07:53.303 D/AndroidRuntime(  667): 
11-18 03:07:53.303 D/AndroidRuntime(  667): >>>>>> AndroidRuntime START com.android.internal.os.RuntimeInit <<<<<<
11-18 03:07:53.303 D/AndroidRuntime(  667): CheckJNI is ON
11-18 03:07:53.393 D/dalvikvm(  667): Trying to load lib libjavacore.so 0x0
11-18 03:07:53.413 D/dalvikvm(  667): Added shared lib libjavacore.so 0x0
11-18 03:07:53.463 D/dalvikvm(  667): Trying to load lib libnativehelper.so 0x0
11-18 03:07:53.463 D/dalvikvm(  667): Added shared lib libnativehelper.so 0x0
11-18 03:07:54.533 D/AndroidRuntime(  667): Calling main entry com.android.commands.pm.Pm
11-18 03:07:54.662 D/dalvikvm(   37): WAIT_FOR_CONCURRENT_GC blocked 0ms
11-18 03:07:54.682 I/ActivityManager(  158): Start proc com.android.defcontainer for service com.android.defcontainer/.DefaultContainerService: pid=677 uid=10029 gids={1015, 2001, 1028}
11-18 03:07:54.852 D/dalvikvm(   37): GC_EXPLICIT freed 37K, 4% free 7963K/8259K, paused 9ms+19ms, total 185ms
11-18 03:07:54.862 D/dalvikvm(   37): WAIT_FOR_CONCURRENT_GC blocked 0ms
11-18 03:07:55.022 E/Trace   (  677): error opening trace file: No such file or directory (2)
11-18 03:07:55.052 D/dalvikvm(   37): GC_EXPLICIT freed <1K, 4% free 7963K/8259K, paused 18ms+7ms, total 184ms
11-18 03:07:55.052 D/dalvikvm(   37): WAIT_FOR_CONCURRENT_GC blocked 0ms
11-18 03:07:55.222 D/dalvikvm(   37): GC_EXPLICIT freed <1K, 4% free 7963K/8259K, paused 17ms+15ms, total 169ms
11-18 03:07:55.353 W/ActivityManager(  158): No content provider found for permission revoke: file:///data/local/tmp/Sweng2012QuizAppTest-debug.apk
11-18 03:07:55.403 W/ActivityManager(  158): No content provider found for permission revoke: file:///data/local/tmp/Sweng2012QuizAppTest-debug.apk
11-18 03:07:55.684 D/dalvikvm(  158): GC_CONCURRENT freed 475K, 47% free 10332K/19207K, paused 32ms+49ms, total 242ms
11-18 03:07:56.082 I/PackageManager(  158): Running dexopt on: epfl.sweng.test
11-18 03:07:56.313 D/dalvikvm(  691): DexOpt: 'Landroid/annotation/SuppressLint;' has an earlier definition; blocking out
11-18 03:07:56.313 D/dalvikvm(  691): DexOpt: 'Landroid/annotation/TargetApi;' has an earlier definition; blocking out
11-18 03:07:56.343 D/dalvikvm(  691): DexOpt: not verifying/optimizing 'Landroid/annotation/SuppressLint;': multiple definitions
11-18 03:07:56.343 D/dalvikvm(  691): DexOpt: not verifying/optimizing 'Landroid/annotation/TargetApi;': multiple definitions
11-18 03:07:56.822 D/dalvikvm(  691): DexOpt: load 68ms, verify+opt 479ms, 524628 bytes
11-18 03:07:56.852 I/ActivityManager(  158): Force stopping package epfl.sweng.test uid=10044
11-18 03:07:57.072 D/PackageManager(  158): New package installed in /data/app/epfl.sweng.test-1.apk
11-18 03:07:57.483 D/dalvikvm(  158): GC_CONCURRENT freed 472K, 47% free 10360K/19207K, paused 42ms+30ms, total 199ms
11-18 03:07:57.672 D/PackageManager(  158): generateServicesMap(android.accounts.AccountAuthenticator): 2 services unchanged
11-18 03:07:57.693 I/InputReader(  158): Reconfiguring input devices.  changes=0x00000010
11-18 03:07:57.733 D/PackageManager(  158): generateServicesMap(android.content.SyncAdapter): 4 services unchanged
